rank,match_id,competition_id,season_id,competition,season,match_date,home,away
33,69303,11,22,La Liga,2010/2011,2011-03-19,Barcelona,Getafe
34,69322,11,23,La Liga,2011/2012,2012-03-11,Racing Santander,Barcelona
35,70262,11,24,La Liga,2012/2013,2012-08-26,Osasuna,Barcelona
36,266420,11,25,La Liga,2013/2014,2013-09-28,Almería,Barcelona
37,266741,11,26,La Liga,2014/2015,2015-02-15,Barcelona,Levante UD
38,3825862,11,27,La Liga,2015/2016,2016-04-19,Espanyol,Celta Vigo
39,267492,11,2,La Liga,2016/2017,2016-10-15,Barcelona,RC Deportivo La Coruña
40,9642,11,1,La Liga,2017/2018,2017-10-14,Atlético Madrid,Barcelona
41,16023,11,4,La Liga,2018/2019,2018-10-07,Valencia,Barcelona
42,303479,11,42,La Liga,2019/2020,2020-03-07,Barcelona,Real Sociedad
43,3764440,11,90,La Liga,2020/2021,2021-02-24,Barcelona,Elche
44,3889082,81,275,Liga Profesional,1981,1981-04-10,Boca Juniors,River Plate
45,3889115,81,48,Liga Profesional,1997/1998,1997-10-25,River Plate,Boca Juniors
46,3829470,7,27,Ligue 1,2015/2016,2015-09-20,Saint-Étienne,Nantes
47,3802665,7,108,Ligue 1,2021/2022,2022-05-14,Montpellier,Paris Saint-Germain
48,3838017,7,235,Ligue 1,2022/2023,2023-06-03,Paris Saint-Germain,Clermont Foot
49,3877072,44,107,Major League Soccer,2023,2023-08-31,Inter Miami,Nashville SC
50,3750234,116,68,North American League,1977,1977-08-28,NY Cosmos,Seattle Sounders
51,3749448,2,44,Premier League,2003/2004,2004-04-09,Arsenal,Liverpool
52,3754186,2,27,Premier League,2015/2016,2015-11-28,Leicester City,Manchester United
53,3889182,12,86,Serie A,1986/1987,1986-11-09,Juventus,Napoli
54,3879761,12,27,Serie A,2015/2016,2016-02-28,Carpi,Atalanta
55,3750245,35,75,UEFA Europa League,1988/1989,1989-03-15,Napoli,Juventus W
56,3890370,9,27,1. Bundesliga,2015/2016,2015-11-21,Eintracht Frankfurt,Bayer Leverkusen
57,3895340,9,281,1. Bundesliga,2023/2024,2024-05-12,Bochum,Bayer Leverkusen
58,3813264,1238,108,Indian Super league,2021/2022,2022-01-05,Mohun Bagan Super Giant,SC Delhi
59,69153,11,37,La Liga,2004/2005,2004-12-11,Albacete,Barcelona
60,68323,11,38,La Liga,2005/2006,2005-12-20,Barcelona,Celta Vigo
61,69154,11,39,La Liga,2006/2007,2007-02-11,Barcelona,Racing Santander
62,69181,11,40,La Liga,2007/2008,2008-01-27,Athletic Club,Barcelona
63,69216,11,41,La Liga,2008/2009,2009-03-07,Barcelona,Athletic Club
64,69255,11,21,La Liga,2009/2010,2009-09-26,Málaga,Barcelona
65,69302,11,22,La Liga,2010/2011,2010-12-12,Barcelona,Real Sociedad
66,69293,11,23,La Liga,2011/2012,2011-10-15,Barcelona,Racing Santander
67,70259,11,24,La Liga,2012/2013,2012-08-19,Barcelona,Real Sociedad
68,70302,11,25,La Liga,2013/2014,2013-09-21,Rayo Vallecano,Barcelona
69,266631,11,26,La Liga,2014/2015,2015-05-17,Atlético Madrid,Barcelona
70,3825781,11,27,La Liga,2015/2016,2016-02-21,Rayo Vallecano,Sevilla
71,266280,11,2,La Liga,2016/2017,2017-04-05,Barcelona,Sevilla
72,9726,11,1,La Liga,2017/2018,2017-12-17,Barcelona,RC Deportivo La Coruña
73,15946,11,4,La Liga,2018/2019,2018-08-18,Barcelona,Deportivo Alavés
74,303596,11,42,La Liga,2019/2020,2019-12-18,Barcelona,Real Madrid
75,3773656,11,90,La Liga,2020/2021,2020-11-21,Atlético Madrid,Barcelona
76,3900507,7,27,Ligue 1,2015/2016,2015-11-08,Olympique de Marseille,OGC Nice
77,3802805,7,108,Ligue 1,2021/2022,2022-03-05,OGC Nice,Paris Saint-Germain
78,3837827,7,235,Ligue 1,2022/2023,2023-01-15,Rennes,Paris Saint-Germain
79,3877194,44,107,Major League Soccer,2023,2023-10-22,Charlotte,Inter Miami
80,3749431,2,44,Premier League,2003/2004,2004-04-11,Newcastle United,Arsenal
81,3754158,2,27,Premier League,2015/2016,2016-05-07,West Ham United,Swansea City
82,3879555,12,27,Serie A,2015/2016,2015-09-28,Atalanta,Sampdoria
83,3750244,35,75,UEFA Europa League,1988/1989,1989-04-05,Napoli,Bayern Munich
84,3890312,9,27,1. Bundesliga,2015/2016,2015-09-23,Bayer Leverkusen,FSV Mainz 05
85,3895052,9,281,1. Bundesliga,2023/2024,2023-08-19,Bayer Leverkusen,RB Leipzig
86,3817872,1238,108,Indian Super league,2021/2022,2022-02-21,Bengaluru,Odisha
87,68315,11,37,La Liga,2004/2005,2004-12-21,Barcelona,Levante UD
88,68350,11,38,La Liga,2005/2006,2006-02-05,Barcelona,Atlético Madrid
89,68335,11,39,La Liga,2006/2007,2007-03-10,Barcelona,Real Madrid
90,69184,11,40,La Liga,2007/2008,2007-11-24,Barcelona,Recreativo Huelva
91,69251,11,41,La Liga,2008/2009,2009-04-25,Valencia,Barcelona
92,69257,11,21,La Liga,2009/2010,2010-03-24,Barcelona,Osasuna
93,69296,11,22,La Liga,2010/2011,2011-01-29,Hércules,Barcelona
94,69312,11,23,La Liga,2011/2012,2012-01-08,Espanyol,Barcelona
95,70260,11,24,La Liga,2012/2013,2013-01-27,Barcelona,Osasuna
96,266074,11,25,La Liga,2013/2014,2014-03-16,Barcelona,Osasuna
97,70264,11,26,La Liga,2014/2015,2014-12-13,Getafe,Barcelona
98,3825905,11,27,La Liga,2015/2016,2016-04-03,Málaga,Espanyol
99,267039,11,2,La Liga,2016/2017,2017-05-14,Las Palmas,Barcelona
100,9636,11,1,La Liga,2017/2018,2017-10-01,Barcelona,Las Palmas
101,16136,11,4,La Liga,2018/2019,2019-01-20,Barcelona,Leganés
102,303652,11,42,La Liga,2019/2020,2020-01-04,Espanyol,Barcelona
103,3773474,11,90,La Liga,2020/2021,2021-04-05,Barcelona,Real Valladolid
104,3829498,7,27,Ligue 1,2015/2016,2015-10-04,Lorient,Bordeaux
105,3803000,7,108,Ligue 1,2021/2022,2022-04-09,Clermont Foot,Paris Saint-Germain
106,3837947,7,235,Ligue 1,2022/2023,2023-04-15,Paris Saint-Germain,Lens
107,3877115,44,107,Major League Soccer,2023,2023-09-21,Inter Miami,Toronto FC
108,3749196,2,44,Premier League,2003/2004,2003-11-08,Arsenal,Tottenham Hotspur
109,3754215,2,27,Premier League,2015/2016,2015-12-05,West Bromwich Albion,Tottenham Hotspur
110,3879611,12,27,Serie A,2015/2016,2015-11-08,Palermo,Chievo
111,3887188,35,75,UEFA Europa League,1988/1989,1989-05-03,Napoli,VfB Stuttgart
112,3890472,9,27,1. Bundesliga,2015/2016,2016-03-02,Bayer Leverkusen,Werder Bremen
113,3895258,9,281,1. Bundesliga,2023/2024,2024-03-03,FC Köln,Bayer Leverkusen
114,3813291,1238,108,Indian Super league,2021/2022,2021-11-27,East Bengal,Mohun Bagan Super Giant
115,68352,11,37,La Liga,2004/2005,2005-04-17,Barcelona,Getafe
116,68325,11,38,La Liga,2005/2006,2006-01-29,Mallorca,Barcelona
117,69156,11,39,La Liga,2006/2007,2007-04-29,Barcelona,Levante UD
118,68365,11,40,La Liga,2007/2008,2008-03-01,Atlético Madrid,Barcelona
119,69142,11,41,La Liga,2008/2009,2009-03-22,Barcelona,Málaga
120,69226,11,21,La Liga,2009/2010,2010-03-06,Almería,Barcelona
121,69306,11,22,La Liga,2010/2011,2010-11-20,Almería,Barcelona
122,69314,11,23,La Liga,2011/2012,2011-10-29,Barcelona,Mallorca
123,70263,11,24,La Liga,2012/2013,2012-12-01,Barcelona,Athletic Club
124,70277,11,25,La Liga,2013/2014,2013-08-18,Barcelona,Levante UD
125,266117,11,26,La Liga,2014/2015,2014-09-27,Barcelona,Granada
126,3825888,11,27,La Liga,2015/2016,2015-11-21,Valencia,Las Palmas
127,266892,11,2,La Liga,2016/2017,2016-08-28,Athletic Club,Barcelona
128,9811,11,1,La Liga,2017/2018,2018-02-24,Barcelona,Girona
129,15998,11,4,La Liga,2018/2019,2018-09-26,Leganés,Barcelona
130,303400,11,42,La Liga,2019/2020,2020-01-25,Valencia,Barcelona
131,3773565,11,90,La Liga,2020/2021,2021-01-09,Granada,Barcelona
132,3900510,7,27,Ligue 1,2015/2016,2015-11-20,OGC Nice,Lyon
133,3802983,7,108,Ligue 1,2021/2022,2022-04-17,Paris Saint-Germain,Olympique de Marseille
134,3837987,7,235,Ligue 1,2022/2023,2023-05-13,Paris Saint-Germain,AC Ajaccio
135,3877090,44,107,Major League Soccer,2023,2023-09-04,LAFC,Inter Miami
136,3749631,2,44,Premier League,2003/2004,2004-02-10,Arsenal,Southampton
137,3754332,2,27,Premier League,2015/2016,2016-04-25,Tottenham Hotspur,West Bromwich Albion
138,3879632,12,27,Serie A,2015/2016,2015-11-29,AS Roma,Atalanta
139,3890395,9,27,1. Bundesliga,2015/2016,2015-12-12,Bayer Leverkusen,Borussia Mönchengladbach
140,3895210,9,281,1. Bundesliga,2023/2024,2024-01-27,Bayer Leverkusen,Borussia Mönchengladbach
141,3813311,1238,108,Indian Super league,2021/2022,2022-01-02,Jamshedpur,Chennaiyin
142,68313,11,37,La Liga,2004/2005,2004-10-24,Barcelona,Osasuna
143,68322,11,38,La Liga,2005/2006,2005-12-17,Cádiz,Barcelona
144,69175,11,39,La Liga,2006/2007,2007-03-31,Barcelona,RC Deportivo La Coruña
145,69151,11,40,La Liga,2007/2008,2007-09-29,Levante UD,Barcelona
146,69139,11,41,La Liga,2008/2009,2009-02-21,Barcelona,Espanyol
147,69256,11,21,La Liga,2009/2010,2009-10-03,Barcelona,Almería
148,69305,11,22,La Liga,2010/2011,2011-04-09,Barcelona,Almería
149,69340,11,23,La Liga,2011/2012,2012-05-02,Barcelona,Málaga
150,70280,11,24,La Liga,2012/2013,2012-11-25,Levante UD,Barcelona
151,70289,11,25,La Liga,2013/2014,2014-04-27,Villarreal,Barcelona
152,266967,11,26,La Liga,2014/2015,2015-03-14,Eibar,Barcelona
153,3825587,11,27,La Liga,2015/2016,2015-09-13,Athletic Club,Getafe
154,267101,11,2,La Liga,2016/2017,2017-04-26,Barcelona,Osasuna
155,9650,11,1,La Liga,2017/2018,2017-10-21,Barcelona,Málaga
156,16205,11,4,La Liga,2018/2019,2019-03-09,Barcelona,Rayo Vallecano
157,303421,11,42,La Liga,2019/2020,2020-07-19,Deportivo Alavés,Barcelona
158,3773372,11,90,La Liga,2020/2021,2021-05-08,Barcelona,Atlético Madrid
159,3900578,7,27,Ligue 1,2015/2016,2016-01-10,Lille,OGC Nice
160,3802676,7,108,Ligue 1,2021/2022,2022-04-23,Paris Saint-Germain,Lens
161,3837902,7,235,Ligue 1,2022/2023,2023-03-11,Stade Brestois,Paris Saint-Germain
162,3877060,44,107,Major League Soccer,2023,2023-08-27,New York Red Bulls,Inter Miami
163,3749253,2,44,Premier League,2003/2004,2003-10-04,Liverpool,Arsenal
164,3753975,2,27,Premier League,2015/2016,2016-01-23,Sunderland,AFC Bournemouth
165,3879810,12,27,Serie A,2015/2016,2016-04-09,AC Milan,Juventus
166,3890500,9,27,1. Bundesliga,2015/2016,2016-03-20,VfB Stuttgart,Bayer Leverkusen
167,3895167,9,281,1. Bundesliga,2023/2024,2023-12-10,VfB Stuttgart,Bayer Leverkusen
168,3813278,1238,108,Indian Super league,2021/2022,2021-12-22,Chennaiyin,Kerala Blasters
169,68353,11,37,La Liga,2004/2005,2004-10-16,Espanyol,Barcelona
170,69172,11,38,La Liga,2005/2006,2006-02-18,Barcelona,Real Betis
171,69162,11,39,La Liga,2006/2007,2007-05-13,Barcelona,Real Betis
172,68360,11,40,La Liga,2007/2008,2008-02-24,Barcelona,Levante UD
173,69215,11,41,La Liga,2008/2009,2008-09-13,Barcelona,Racing Santander
174,69218,11,21,La Liga,2009/2010,2009-12-05,RC Deportivo La Coruña,Barcelona
175,69270,11,22,La Liga,2010/2011,2010-11-07,Getafe,Barcelona
176,70225,11,23,La Liga,2011/2012,2012-03-20,Barcelona,Granada
177,70282,11,24,La Liga,2012/2013,2013-02-03,Valencia,Barcelona
178,266462,11,25,La Liga,2013/2014,2013-10-19,Osasuna,Barcelona
179,267597,11,26,La Liga,2014/2015,2015-02-01,Barcelona,Villarreal
180,266498,11,27,La Liga,2015/2016,2016-03-12,Barcelona,Getafe
181,266528,11,2,La Liga,2016/2017,2016-12-18,Barcelona,Espanyol
182,9783,11,1,La Liga,2017/2018,2018-02-04,Espanyol,Barcelona
183,16306,11,4,La Liga,2018/2019,2019-05-12,Barcelona,Getafe
184,303682,11,42,La Liga,2019/2020,2020-02-02,Barcelona,Levante UD
185,3773547,11,90,La Liga,2020/2021,2020-11-29,Barcelona,Osasuna
186,3901248,7,27,Ligue 1,2015/2016,2016-05-07,Lille,Guingamp
187,3802699,7,108,Ligue 1,2021/2022,2021-10-29,Paris Saint-Germain,Lille
188,3837818,7,235,Ligue 1,2022/2023,2023-01-11,Paris Saint-Germain,Angers
189,3877170,44,107,Major League Soccer,2023,2023-10-08,Inter Miami,Cincinnati
190,3749278,2,44,Premier League,2003/2004,2003-12-20,Bolton Wanderers,Arsenal
191,3753992,2,27,Premier League,2015/2016,2016-05-08,Tottenham Hotspur,Southampton
192,3879756,12,27,Serie A,2015/2016,2016-02-22,Napoli,AC Milan
193,3890463,9,27,1. Bundesliga,2015/2016,2016-02-28,FSV Mainz 05,Bayer Leverkusen
