match_id,model_version,prediction_timestamp,source_snapshot_timestamp,kickoff_utc,approval_status,row_index,valid,reasons
2026_E_0625_EcuGer,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T20:00:00+00:00,shadow,89,True,
2026_E_0625_EcuGer,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T20:00:00+00:00,shadow,90,True,
2026_F_0625_JapSwe,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T23:00:00+00:00,approved,91,True,
2026_F_0625_JapSwe,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T23:00:00+00:00,shadow,92,True,
2026_F_0625_JapSwe,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T23:00:00+00:00,shadow,93,True,
2026_F_0625_JapSwe,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T23:00:00+00:00,shadow,94,True,
2026_F_0625_JapSwe,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T23:00:00+00:00,shadow,95,True,
2026_F_0625_TunNet,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T23:00:00+00:00,approved,96,True,
2026_F_0625_TunNet,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T23:00:00+00:00,shadow,97,True,
2026_F_0625_TunNet,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T23:00:00+00:00,shadow,98,True,
2026_F_0625_TunNet,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T23:00:00+00:00,shadow,99,True,
2026_F_0625_TunNet,M5_25_75,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-25T23:00:00+00:00,shadow,100,True,
2026_D_0626_ParAus,M1_B1,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-26T02:00:00+00:00,approved,101,True,
2026_D_0626_ParAus,M2_market,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-26T02:00:00+00:00,shadow,102,True,
2026_D_0626_ParAus,M3_75_25,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-26T02:00:00+00:00,shadow,103,True,
2026_D_0626_ParAus,M4_50_50,2026-06-21T18:08:27.495003+00:00,2026-06-21T18:06:34.773477+00:00,2026-06-26T02:00:00+00:00,shadow,104,True,
