canonical_match_id,provider_fixture_id,league_name,season,comp_type,kickoff_utc,cohort,raw_events_state,raw_lineups_state,execution_status
39/2021/2021-10-23/51/50,710638,EPL,2021,club,2021-10-23T16:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-02-23/38/52,710733,EPL,2021,club,2022-02-23T19:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-10-24/48/47,710645,EPL,2021,club,2021-10-24T13:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-10-16/46/33,710630,EPL,2021,club,2021-10-16T14:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-04-19/40/33,710849,EPL,2021,club,2022-04-19T19:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-11-06/52/39,710660,EPL,2021,club,2021-11-06T15:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-01-14/51/52,710767,EPL,2021,club,2022-01-14T20:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-12-26/48/41,710744,EPL,2021,club,2021-12-26T15:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-02-13/44/40,710797,EPL,2021,club,2022-02-13T14:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-03-10/71/49,710852,EPL,2021,club,2022-03-10T19:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-01-02/49/40,710758,EPL,2021,club,2022-01-02T16:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-10-22/42/66,710636,EPL,2021,club,2021-10-22T19:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-08-14/44/51,710557,EPL,2021,club,2021-08-14T14:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-10-30/50/52,710650,EPL,2021,club,2021-10-30T14:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-05-22/42/45,710926,EPL,2021,club,2022-05-22T15:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-11-20/40/42,710669,EPL,2021,club,2021-11-20T17:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-10-16/55/49,710628,EPL,2021,club,2021-10-16T16:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-03-05/40/48,710829,EPL,2021,club,2022-03-05T17:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-09-25/45/71,710610,EPL,2021,club,2021-09-25T14:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-03-10/63/66,710751,EPL,2021,club,2022-03-10T19:45:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-09-11/46/50,710592,EPL,2021,club,2021-09-11T14:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-10-30/34/49,710651,EPL,2021,club,2021-10-30T14:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-11-27/40/41,710683,EPL,2021,club,2021-11-27T15:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-04-16/47/51,710882,EPL,2021,club,2022-04-16T11:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-05-07/51/33,710908,EPL,2021,club,2022-05-07T16:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-11-27/71/39,710685,EPL,2021,club,2021-11-27T15:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-09-17/34/63,710601,EPL,2021,club,2021-09-17T19:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-05-22/44/34,710929,EPL,2021,club,2022-05-22T15:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-11-20/44/52,710667,EPL,2021,club,2021-11-20T15:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-05-11/38/45,710854,EPL,2021,club,2022-05-11T18:45:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-04-23/42/33,710886,EPL,2021,club,2022-04-23T11:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-02-26/63/47,710822,EPL,2021,club,2022-02-26T12:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-08-28/51/45,710577,EPL,2021,club,2021-08-28T14:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-09-25/46/44,710612,EPL,2021,club,2021-09-25T14:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-09-18/50/41,710600,EPL,2021,club,2021-09-18T14:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-08-29/44/63,710578,EPL,2021,club,2021-08-29T13:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-12-28/38/48,710755,EPL,2021,club,2021-12-28T15:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-01-21/38/71,710785,EPL,2021,club,2022-01-21T20:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-01-01/38/47,710765,EPL,2021,club,2022-01-01T15:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-03-05/66/41,710826,EPL,2021,club,2022-03-05T15:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-03-05/46/63,710828,EPL,2021,club,2022-03-05T12:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-05-11/63/49,710878,EPL,2021,club,2022-05-11T18:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-04-02/44/50,710857,EPL,2021,club,2022-04-02T14:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-05-19/66/44,710726,EPL,2021,club,2022-05-19T19:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-01-22/55/39,710777,EPL,2021,club,2022-01-22T15:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-01-03/33/39,710763,EPL,2021,club,2022-01-03T17:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-01-22/45/66,710780,EPL,2021,club,2022-01-22T12:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-04-20/49/42,710798,EPL,2021,club,2022-04-20T18:45:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-01-01/42/50,710756,EPL,2021,club,2022-01-01T12:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-03-14/52/50,710840,EPL,2021,club,2022-03-14T20:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-02-19/48/34,710814,EPL,2021,club,2022-02-19T12:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-08-21/40/44,710571,EPL,2021,club,2021-08-21T11:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-08-14/71/40,710563,EPL,2021,club,2021-08-14T16:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-02-08/48/38,710790,EPL,2021,club,2022-02-08T19:45:00+00:00,player_history_club,pending,pending,pending
39/2021/2021-08-29/39/33,710585,EPL,2021,club,2021-08-29T15:30:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-05-22/71/47,710935,EPL,2021,club,2022-05-22T15:00:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-03-17/45/34,710750,EPL,2021,club,2022-03-17T19:45:00+00:00,player_history_club,pending,pending,pending
39/2021/2022-02-13/46/48,710800,EPL,2021,club,2022-02-13T16:30:00+00:00,player_history_club,pending,pending,pending
