official_sb_match_id,competition,season,competition_label,match_date,official_norm_home,official_norm_away,official_fulltime_result,local_bridge_id,local_sb_match_id,local_regulation_result,orientation,classification
3857281,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-27,croatia,canada,home,eb3ce474b07a3282,3857281,home,same,exact
3857282,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-21,united states,wales,draw,e58f78b0f479249f,3857282,draw,same,exact
3857283,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-27,belgium,morocco,away,e55d9393b3f48252,3857283,away,same,exact
3857284,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-23,germany,japan,away,a2d31b1a0b71a4ca,3857284,away,same,exact
3857285,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-21,senegal,netherlands,away,cbd089198aa68af3,3857285,away,same,exact
3857286,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-20,qatar,ecuador,away,de8988933e0474bd,3857286,away,same,exact
3857287,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-24,uruguay,south korea,draw,f8fa710497924140,3857287,draw,same,exact
3857288,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-26,tunisia,australia,away,0d4cf8371837520a,3857288,away,same,exact
3857289,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-26,argentina,mexico,home,6c346725cac56200,3857289,home,same,exact
3857290,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-24,switzerland,cameroon,home,9e62e55b88dc258d,3857290,home,same,exact
3857291,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-23,spain,costa rica,home,bbc6b2cbe59ff3ea,3857291,home,same,exact
3857292,FIFA World Cup,2022,FIFA World Cup 2022,2022-12-01,costa rica,germany,away,7daaee98475ec516,3857292,away,same,exact
3857293,FIFA World Cup,2022,FIFA World Cup 2022,2022-12-02,ghana,uruguay,away,2755607c4622d115,3857293,away,same,exact
3857294,FIFA World Cup,2022,FIFA World Cup 2022,2022-11-29,netherlands,qatar,home,f351e87c5d11d323,3857294,home,same,exact
