sb_match_id,competition,season,competition_id,season_id,competition_label,match_date,home,away,norm_home,norm_away,home_score,away_score,fulltime_result,competition_stage,match_status,source_url
3939992,Copa America,2024,223,282,Copa America 2024,2024-07-03,Costa Rica,Paraguay,costa rica,paraguay,2,1,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3942228,Copa America,2024,223,282,Copa America 2024,2024-07-05,Argentina,Ecuador,argentina,ecuador,1,1,draw,Quarter-finals,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3942229,Copa America,2024,223,282,Copa America 2024,2024-07-06,Venezuela,Canada,venezuela,canada,1,1,draw,Quarter-finals,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3942415,Copa America,2024,223,282,Copa America 2024,2024-07-07,Uruguay,Brazil,uruguay,brazil,0,0,draw,Quarter-finals,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3942416,Copa America,2024,223,282,Copa America 2024,2024-07-06,Colombia,Panama,colombia,panama,5,0,home,Quarter-finals,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3942785,Copa America,2024,223,282,Copa America 2024,2024-07-10,Argentina,Canada,argentina,canada,2,0,home,Semi-finals,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3942852,Copa America,2024,223,282,Copa America 2024,2024-07-11,Uruguay,Colombia,uruguay,colombia,0,1,away,Semi-finals,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3943076,Copa America,2024,223,282,Copa America 2024,2024-07-14,Canada,Uruguay,canada,uruguay,2,2,draw,3rd Place Final,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3943077,Copa America,2024,223,282,Copa America 2024,2024-07-15,Argentina,Colombia,argentina,colombia,1,0,home,Final,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/223/282.json
3888704,FIFA World Cup,1958,43,269,FIFA World Cup 1958,1958-06-24,Brazil,France,brazil,france,5,2,home,Semi-finals,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/269.json
3888705,FIFA World Cup,1958,43,269,FIFA World Cup 1958,1958-06-29,Brazil,Sweden,brazil,sweden,5,2,home,Final,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/269.json
3888854,FIFA World Cup,1962,43,270,FIFA World Cup 1962,1962-05-30,Brazil,Mexico,brazil,mexico,2,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/270.json
3888699,FIFA World Cup,1970,43,272,FIFA World Cup 1970,1970-06-03,Brazil,Czechoslovakia,brazil,czechoslovakia,4,1,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/272.json
3888700,FIFA World Cup,1970,43,272,FIFA World Cup 1970,1970-06-07,Brazil,England,brazil,england,1,0,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/272.json
3888701,FIFA World Cup,1970,43,272,FIFA World Cup 1970,1970-06-17,Brazil,Uruguay,brazil,uruguay,3,1,home,Semi-finals,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/272.json
3888702,FIFA World Cup,1970,43,272,FIFA World Cup 1970,1970-06-21,Brazil,Italy,brazil,italy,4,1,home,Final,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/272.json
3889217,FIFA World Cup,1970,43,272,FIFA World Cup 1970,1970-06-09,Brazil,Romania,brazil,romania,3,2,home,Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/272.json
3889218,FIFA World Cup,1970,43,272,FIFA World Cup 1970,1970-06-14,Brazil,Peru,brazil,peru,4,2,home,Quarter-finals,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/272.json
3750180,FIFA World Cup,1974,43,51,FIFA World Cup 1974,1974-06-22,German DR,Germany,german dr,germany,1,0,home,1st Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/51.json
3888716,FIFA World Cup,1974,43,51,FIFA World Cup 1974,1974-06-19,Netherlands,Sweden,netherlands,sweden,0,0,draw,1st Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/51.json
3888717,FIFA World Cup,1974,43,51,FIFA World Cup 1974,1974-06-26,Netherlands,Argentina,netherlands,argentina,4,0,home,1st Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/51.json
3888718,FIFA World Cup,1974,43,51,FIFA World Cup 1974,1974-06-30,German DR,Netherlands,german dr,netherlands,0,2,away,1st Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/51.json
3888719,FIFA World Cup,1974,43,51,FIFA World Cup 1974,1974-07-03,Netherlands,Brazil,netherlands,brazil,2,0,home,1st Group Stage,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/51.json
3888720,FIFA World Cup,1974,43,51,FIFA World Cup 1974,1974-07-07,Netherlands,Germany,netherlands,germany,1,2,away,Final,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/51.json
3750191,FIFA World Cup,1986,43,54,FIFA World Cup 1986,1986-06-22,Argentina,England,argentina,england,2,1,home,Quarter-finals,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/54.json
3889148,FIFA World Cup,1986,43,54,FIFA World Cup 1986,1986-06-25,Argentina,Belgium,argentina,belgium,2,0,home,Semi-finals,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/54.json
3889149,FIFA World Cup,1986,43,54,FIFA World Cup 1986,1986-06-29,Argentina,Germany,argentina,germany,3,2,home,Semi-finals,available,https://raw.githubusercontent.com/statsbomb/open-data/master/data/matches/43/54.json
